epoch,train_loss,train_acc,val_loss,val_acc,lr,time
1,2.635231873920569,0.23838358085282682,2.0779473198250233,0.358957987485634,0.001,27.97718834877014
2,1.8269611249136282,0.4121996303142329,1.877514815029095,0.4035244540927085,0.001,54.35843205451965
3,1.4681794162051567,0.516954554146217,1.2939098970475758,0.5931554079938706,0.001,80.4203200340271
4,1.2255465361590108,0.5972656001019823,1.105913457497926,0.631081598774103,0.001,106.55518293380737
5,1.0148490558763832,0.663872777104978,0.9543342067545028,0.7032307495849828,0.001,132.71449637413025
6,0.8583071677328729,0.7160749569762254,0.7199347371125125,0.7728259481547695,0.001,158.8526735305786
7,0.7053386115596251,0.7669386194148766,0.632022517469851,0.7875111735410548,0.001,185.14496421813965
8,0.6131122268190712,0.800146599528332,0.5333055797519545,0.8328438258204571,0.001,211.16651844978333
9,0.5248822582916135,0.827745554209956,0.6218916638843504,0.7983654705657004,0.001,237.40271186828613
10,0.4518473275977921,0.8515520428325578,0.40583950644110434,0.8680883667475419,0.001,263.61742639541626
11,0.40097168307359393,0.8680922939639237,0.36937268617985264,0.8784318733239689,0.001,289.8998064994812
12,0.36423936624342795,0.8796609089170757,0.31672845728963733,0.8919678202017622,0.001,316.02148056030273
13,0.3252443671511437,0.8936516030339728,0.3358860127502381,0.8903077512450517,0.001,342.34098768234253
14,0.3001955530160821,0.9016827076295494,0.29119490290160777,0.8980973055803857,0.001,368.662802696228
15,0.27011951005392726,0.9116897189113392,0.1701219694445055,0.9450900268164986,0.001,394.59708404541016
16,0.18629391989954738,0.9392249346676015,0.12553880087024613,0.9595198569786745,0.0005,420.90923976898193
17,0.17507849713760487,0.9433042258907515,0.11376766084002239,0.9657770399693526,0.0005,447.1815800666809
18,0.16678858113924094,0.9477978201287526,0.10539389368216201,0.9675648065381177,0.0005,473.4101264476776
19,0.15554218114835672,0.9501880298298171,0.12947651193000842,0.9564551142893628,0.0005,499.70727038383484
20,0.15531922098914283,0.9488176429345401,0.09378755932139626,0.9712680372877027,0.0005,526.1623063087463
21,0.1425901795369701,0.9528331952323283,0.08578217598701658,0.971906525347976,0.0005,552.5020132064819
22,0.1313490061267125,0.9579641787239467,0.07990008702188518,0.9768867322181075,0.0005,578.3414001464844
23,0.13364405739515597,0.9563069666645421,0.07850528128991978,0.975992848933725,0.0005,604.2161316871643
24,0.12204252047808192,0.9602587800369686,0.08254898597036867,0.9743327799770144,0.0005,630.4876201152802
25,0.12385344590624406,0.9599082159474791,0.06762644282557707,0.9809730558038565,0.0005,656.6369185447693
26,0.11440599642267069,0.9629039454394799,0.08129677304533726,0.9771421274422168,0.0005,682.2929809093475
27,0.11431188134534598,0.9647523742749697,0.09182766129095407,0.9702464563912655,0.0005,708.2412238121033
28,0.1095928821751436,0.9642743323347568,0.05803797324858508,0.9845485889413867,0.0005,734.2563395500183
29,0.10564961444295169,0.9654853719166295,0.08282930098490057,0.9744604775890691,0.0005,761.8756332397461
30,0.0963757719006514,0.9689591433488431,0.060372277411646406,0.9821223343123484,0.0005,789.371591091156
